2025-12-24 08:50:27.214 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;01010131
2025-12-24 08:51:01.841 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000022083301180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000035

2025-12-24 08:51:02.847 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000023083302180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000F6

2025-12-24 08:51:03.653 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000024083303180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400008B

2025-12-24 08:51:05.158 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000025083304180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB0000000000000000000000000601010400008F

2025-12-24 08:51:06.166 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000026083305180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000085

2025-12-24 08:51:06.869 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000027083306180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000082

2025-12-24 08:51:07.976 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000028083307180C190000000400000000000000CB00E30108000000000000000001930190018B0000000000DB00DB000000000000000000000000060101040000BB

2025-12-24 08:51:08.780 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000029083308180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB000000000000000000000000060101040000C2

2025-12-24 08:51:09.785 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002A083309180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB000000000000000000000000060101040000FF

2025-12-24 08:51:10.791 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002B08330A180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB000000000000000000000000060101040000F8

2025-12-24 08:51:11.997 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002C08330B180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000063

2025-12-24 08:51:13.003 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002D08330C180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000050

2025-12-24 08:51:14.010 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002E08330D180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000A9

2025-12-24 08:51:15.017 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002F08330E180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000AE

2025-12-24 08:51:15.821 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003008330F180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400004A

2025-12-24 08:51:16.747 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000031083310180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000C1

2025-12-24 08:51:17.851 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000032083311180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000B7

2025-12-24 08:51:19.058 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000033083312180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000FB

2025-12-24 08:51:20.163 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000034083313180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000060

2025-12-24 08:51:21.168 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000035083314180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000B5

